TIME,AMPLITUDE
10250,0.387991622
10252,-0.475787624
10254,-0.983748604
10256,-0.755703911
10258,0.038052709
10260,0.803378834
10262,0.967098535
10264,0.406205225
10266,-0.459176548
10268,-0.980447147
10270,-0.76640039
10272,0.022720135
10274,0.794848953
10276,0.970356515
10278,0.417126761
10280,-0.449525691
10282,-0.978475935
10284,-0.771914512
10286,0.015147481
10288,0.790934727
10290,0.971617401
10292,0.420956966
10294,-0.446783069
10296,-0.978058476
10298,-0.77246277
10300,0.015435069
10302,0.791755328
10304,0.971001795
10306,0.4176495
10308,-0.451066558
10310,-0.979279543
10312,-0.767999238
10314,0.023582768
10316,0.797401658
10318,0.968474345
10320,0.407168684
10322,-0.462239891
10324,-0.981963869
10326,-0.758397411
10328,0.039489734
10330,0.807583226
10332,0.963801632
10334,0.389493282
10336,-0.480250781
10338,-0.985797509
10340,-0.743456951
10342,0.06323449
10344,0.822031714
10346,0.956521886
10348,0.364363363
10350,-0.504863109
10352,-0.990312791
10354,-0.722724819
10356,0.094772613
10358,0.840205869
10360,0.946105232
10362,0.331558597
10364,-0.535645457
10366,-0.994791751
10368,-0.6956952
10370,0.133915667
10372,0.861500455
10374,0.931814691
10376,0.29092683
10378,-0.572196895
10380,-0.99836791
10382,-0.661841002
10384,0.180588716
10386,0.885065002
10388,0.91268814
10390,0.242143084
10392,-0.613870203
10394,-0.999991102
10396,-0.620433233
10398,0.234507987
10400,0.909805708
10402,0.887772044
10404,0.185018851
10406,-0.659754181
10408,-0.998406012
10410,-0.570780746
10412,0.295143421
10414,0.934502691
10416,0.855949101
10418,0.119555589
10420,-0.708867201
10422,-0.992207194
10424,-0.512292461
10426,0.3619515
10428,0.957633354
10430,0.815980712
10432,0.045715863
10434,-0.759832831
10436,-0.979800485
10438,-0.444293936
10440,0.434044151
10442,0.977536128
10444,0.766646677
10446,-0.036232364
10448,-0.811186683
10450,-0.959544524
10452,-0.36632678
10454,0.510150097
10456,0.992219136
10458,0.706767735
10460,-0.125645214
10462,-0.860915718
10464,-0.929605565
10466,-0.278243438
10468,0.588824118
10470,0.999564047
10472,0.63535624
10474,-0.221719687
10476,-0.906838307
10478,-0.888256971
10480,-0.180022901
10482,0.668070705
10484,0.997290457
10486,0.551498084
10488,-0.323042886
10490,-0.946508143
10492,-0.833752919
10494,-0.072130278
10496,0.745696921
10498,0.983000032
10500,0.454656681
10502,-0.427988389
10504,-0.977150571
10506,-0.764549648
10508,0.044374993
10510,0.818742459
10512,0.954285425
10514,0.344821477
10516,-0.534025274
10518,-0.995776222
10520,-0.67947632
10522,0.168032806
10524,0.884215637
10526,0.908888306
10528,0.22237405
10530,-0.63823918
10532,-0.999275733
10534,-0.577687905
10536,0.296517159
10538,0.938469774
10540,0.844750965
10542,0.088567065
10544,-0.737205364
10546,-0.984564469
10548,-0.459091376
10550,0.426948315
10552,0.97773775
10554,0.760331243
10556,-0.0547166
10558,-0.826860644
10560,-0.948743311
10562,-0.32422217
10564,0.555570233
10566,0.998058864
10568,0.654551092
10570,-0.20457822
10572,-0.902673318
10574,-0.88922386
10576,-0.174644715
10578,0.677856795
10580,0.995535218
10582,0.527524968
10584,-0.357120515
10586,-0.959760193
10588,-0.80423435
10590,-0.013038467
10592,0.788523349
10594,0.966608947
10596,0.380024578
10598,-0.507343763
10600,-0.993211949
10602,-0.692658752
10604,0.156585973
10606,0.881876066
10608,0.908247506
10610,0.21451517
10612,-0.649462629
10614,-0.998245232
10616,-0.554852581
10618,0.329115321
10620,0.951788568
10622,0.81846713
10624,0.034699348
10626,-0.776707336
10628,-0.97063392
10630,-0.392493495
10632,0.497978265
10634,0.992231068
10636,0.696521176
10638,-0.15393406
10640,-0.881876066
10642,-0.90708061
10644,-0.209174404
10646,0.655637649
10648,0.997538421
10650,0.543475297
10652,-0.344461477
10654,-0.957467531
10656,-0.805770086
10658,-0.010258317
10660,0.793567294
10662,0.963004957
10664,0.362308966
10666,-0.528339211
10668,-0.996246513
10670,-0.666714147
10672,0.1967826
10674,0.902714571
10676,0.88542175
10678,0.158384843
10680,-0.6956952
10682,-0.99191787
10684,-0.492314151
10686,0.402434651
10688,0.974231373
10690,0.763683804
10692,-0.060363775
10694,-0.836022056
10696,-0.939721765
10698,-0.287806579
10700,0.595776308
10702,0.999997128
10704,0.599389298
10706,-0.283856003
10708,-0.938569068
10710,-0.83722995
10712,-0.061129348
10714,0.764302405
10716,0.973534807
10718,0.397425916
10720,-0.499390996
10722,-0.993278696
10724,-0.685153505
10726,0.176343661
10728,0.895540041
10730,0.890971701
10732,0.166142286
10734,-0.693211752
10736,-0.991808019
10738,-0.487884952
10740,0.41110538
10742,0.977252348
10744,0.751924087
10746,-0.082740265
10748,-0.850398187
10750,-0.928683972
10752,-0.253752999
10754,0.627102468
10756,0.999138444
10758,0.560105735
10760,-0.333818909
10762,-0.956661589
10764,-0.802235562
10766,0.004314308
10768,0.807413566
10770,0.953940917
10772,0.324312863
10774,-0.569284078
10776,-0.999580865
10778,-0.615836064
10780,0.269576002
10782,0.935488757
10784,0.838851539
10786,0.058258265
10788,-0.770021671
10790,-0.970054544
10792,-0.378427755
10794,0.522302361
10796,0.996515393
10798,0.65672285
10800,-0.21984953
10802,-0.91675567
10804,-0.864117649
10806,-0.104598385
10808,0.740564693
10810,0.979685288
10812,0.416691039
10814,-0.487633865
10816,-0.992549786
10818,-0.684105282
10820,0.185207285
10822,0.902714571
10824,0.879833743
10826,0.134960705
10828,-0.720733978
10830,-0.984815151
10832,-0.440080364
10834,0.466315777
10836,0.989539194
10838,0.699336298
10840,-0.166047744
10842,-0.894899185
10844,-0.887462941
10846,-0.149480151
10848,0.711634294
10850,0.986731685
10852,0.448840431
10854,-0.459006201
10856,-0.988563199
10858,-0.702891147
10860,0.162643219
10862,0.894084778
10864,0.887551297
10866,0.148152864
10868,-0.713719188
10870,-0.985974071
10872,-0.443348882
10874,0.465891665
10876,0.989936473
10878,0.695075114
10880,-0.175022304
10882,-0.900349925
10884,-0.880198021
10886,-0.130969763
10888,0.726886106
10890,0.98234254
10892,0.423390474
10894,-0.486796616
10896,-0.993200793
10898,-0.675456679
10900,0.203076442
10902,0.913040415
10904,0.864696105
10906,0.097826314
10908,-0.750405183
10910,-0.974854715
10912,-0.388521738
10914,0.521075461
10916,0.997162019
10918,0.643171068
10920,-0.246419665
10922,-0.930872081
10924,-0.839737653
10926,-0.048684637
10928,0.783068164
10930,0.96183336
10932,0.338153321
10934,-0.56778552
10936,-0.999835835
10938,-0.597007624
10940,0.304563976
10942,0.951729731
10944,0.803492999
10946,-0.016585407
10948,-0.822849781
10950,-0.940831395
10952,-0.271421995
10954,0.625233678
10956,0.998475581
10958,0.535321578
10960,-0.37638573
10962,-0.972762447
10964,-0.753628094
10966,0.097635485
